Sensor 1 position, angle , timestamp, and quality in inches, degrees and seconds, respectively

 x            y            z            a            e            r            timestamp          quality
----------------------------------------------------------------------------------------------------------------

+29.50927734 +2.75537109 +7.38720703 +126.47460938 +22.17041016 +2.81250000 +1489583273.93950010 +4472
+29.50927734 +2.76416016 +7.38281250 +126.45263672 +22.19238281 +2.81250000 +1489583273.94440010 +4472
+29.51367188 +2.77294922 +7.38281250 +126.43066406 +22.19238281 +2.81250000 +1489583273.94930010 +4472
+29.51806641 +2.77734375 +7.38281250 +126.40869141 +22.21435547 +2.79052734 +1489583273.95409990 +4472
+29.51806641 +2.77734375 +7.38281250 +126.36474609 +22.21435547 +2.79052734 +1489583273.95900010 +4468
+29.52246094 +2.77294922 +7.38281250 +126.32080078 +22.21435547 +2.79052734 +1489583273.96390010 +4468
+29.52246094 +2.77294922 +7.38281250 +126.27685547 +22.21435547 +2.76855469 +1489583273.96869990 +4468
+28.52929688 -1.02392578 +10.55126953 +155.63232422 +35.04638672 +13.75488281 +1489583515.57180000 +6856
+28.52929688 -1.02392578 +10.55126953 +155.63232422 +35.04638672 +13.75488281 +1489583515.57670000 +6856
+28.52929688 -1.02392578 +10.55126953 +155.63232422 +35.04638672 +13.75488281 +1489583515.58150010 +6856
+28.52929688 -1.02832031 +10.55126953 +155.63232422 +35.04638672 +13.75488281 +1489583515.58640000 +6856
+28.52929688 -1.02832031 +10.55126953 +155.63232422 +35.04638672 +13.75488281 +1489583515.59130000 +6856
+28.52929688 -1.02392578 +10.55126953 +155.63232422 +35.04638672 +13.75488281 +1489583515.59610010 +6856
+28.53369141 -1.02392578 +10.55126953 +155.63232422 +35.04638672 +13.75488281 +1489583515.60100010 +6856
+28.53369141 -1.02392578 +10.54687500 +155.63232422 +35.04638672 +13.75488281 +1489583515.60579990 +6856
+28.53369141 -1.02392578 +10.54687500 +155.63232422 +35.04638672 +13.75488281 +1489583515.61069990 +6860
+28.53369141 -1.02392578 +10.54687500 +155.63232422 +35.04638672 +13.75488281 +1489583515.61560010 +6860
+28.53369141 -1.02392578 +10.54687500 +155.63232422 +35.04638672 +13.75488281 +1489583515.62040000 +6860
+28.53369141 -1.02392578 +10.55126953 +155.63232422 +35.04638672 +13.75488281 +1489583515.62529990 +6860
+28.53369141 -1.02832031 +10.55126953 +155.63232422 +35.04638672 +13.75488281 +1489583515.63019990 +6860
+28.53369141 -1.02832031 +10.55126953 +155.63232422 +35.04638672 +13.75488281 +1489583515.63500000 +6860
+28.53369141 -1.02832031 +10.55126953 +155.63232422 +35.04638672 +13.75488281 +1489583515.63990000 +6860
+28.53369141 -1.02832031 +10.54687500 +155.63232422 +35.04638672 +13.75488281 +1489583515.64479990 +6860
+28.53369141 -1.02832031 +10.54687500 +155.63232422 +35.04638672 +13.75488281 +1489583515.64960000 +6860
+28.53369141 -1.02832031 +10.54687500 +155.61035156 +35.04638672 +13.75488281 +1489583515.65450000 +6860
+28.53369141 -1.03271484 +10.54687500 +155.61035156 +35.04638672 +13.75488281 +1489583515.65940000 +6860
+28.53369141 -1.03271484 +10.54687500 +155.61035156 +35.04638672 +13.75488281 +1489583515.66420010 +6864
